validated,venue_name,venue_type,venue_address,website,events,etc,menu_url,menu_text,venue_notes,phone,email,homemade_pierogies,take_out,alcohol,lunch,handicap,publish,id,latitude,longitude,,,,,,,,,,,,
False,St. Michael,Church,"85 North High Street, Greenville, PA",,,,,,,xxx-xxx-xxxx,,,,,,,False,152,41.40634,-80.39651,,,,,,,,,,,,
True,Wolf's Pub,Restaurant,"3301 Main Street, Homestead, Pennsylvania 15120, United States",https://www.facebook.com/wolfspub/,"Wednesday Mar 6 from 5:00 PM to 11:00 PM, Friday Mar 8 from 5:00 PM to 11:00 PM, Friday Mar 15 from 5:00 PM to 11:00 PM, Friday Mar 22 from 5:00 PM to 11:00 PM, Friday Mar 29 from 5:00 PM to 11:00 PM, Friday Apr 5 from 5:00 PM to 11:00 PM, Friday Apr 12 from 5:00 PM to 11:00 PM, Friday Apr 19 from 5:00 PM to 11:00 PM",,,"fish fry Ash Wednesday, and every Friday during lent! The catch comes in at 5 pm!",,(412) 212-9653,,,True,True,False,,True,,40.387067,-79.902165,,,,,,,,,,,,
True,Immaculate Conception Church,Church,"308 2nd Street, Irwin, Pennsylvania 15642, United States",https://www.facebook.com/ICIrwin/,"Friday Mar 8 from 11:00 AM to 2:00 PM, Friday Mar 15 from 11:00 AM to 2:00 PM, Friday Mar 22 from 11:00 AM to 2:00 PM, Friday Mar 29 from 11:00 AM to 2:00 PM, Friday Apr 5 from 11:00 AM to 2:00 PM, Friday Apr 12 from 11:00 AM to 2:00 PM",,https://www.facebook.com/ICIrwin/photos/a.289138954450706/2351209014910346/?type=3&theater,,,724-864-7788,,,True,,True,,True,,40.333491,-79.708898,,,,,,,,,,,,
True,Rupe's Roadhouse,Restaurant,"325 Camp Horne, Pittsburgh, PA 15202",https://rupeshouse.com/site/restaurants/rupe-s-roadhouse/,"Wednesday Mar 6 from 7:00 AM to 2:00 AM, Friday Mar 8 from 7:00 AM to 2:00 AM, Friday Mar 15 from 7:00 AM to 2:00 AM, Friday Mar 22 from 7:00 AM to 2:00 AM, Friday Mar 29 from 7:00 AM to 2:00 AM, Friday Apr 5 from 7:00 AM to 2:00 AM, Friday Apr 12 from 7:00 AM to 2:00 AM, Friday Apr 19 from 7:00 AM to 7:00 AM",Ash Wednesday and all Fridays of Lent,,,,412-415-1087,,True,,True,True,,True,,40.51864,-80.090051,,,,,,,,,,,,
True,"Madonna del Castello, Swissvale",Church,2021 South Braddock Ave,www.madonnadelcastello.org,"Wednesday Mar 6 from 4:00 PM to 7:00 PM, Friday Mar 8 from 12:00 PM to 7:00 PM, Friday Mar 15 from 12:00 PM to 7:00 PM, Friday Mar 22 from 12:00 PM to 7:00 PM, Friday Mar 29 from 12:00 PM to 7:00 PM, Friday Apr 5 from 12:00 PM to 7:00 PM, Friday Apr 12 from 12:00 PM to 7:00 PM",For takeout call 412-271-3959,,Baked or fried fish dinners served. A la carte menu: fish, eggplant, haluski, macaroni and cheese, pasta fagioli, applesauce. Takeout offered, call 412-271-3959.,In Social Hall,412-271-5666,,,True,False,True,,True,,40.421887,-79.884757,,,,,,
True,"St. Gabriel, Whitehall",Church,"5300 Greenridge Dr, Pittsburgh, Pennsylvania 15236, United States",https://www.stgabespgh.org/,"Friday Mar 8 from 4:00 PM to 7:00 PM, Friday Mar 15 from 4:00 PM to 7:00 PM, Friday Mar 22 from 4:00 PM to 7:00 PM, Friday Mar 29 from 4:00 PM to 7:00 PM, Friday Apr 5 from 4:00 PM to 7:00 PM, Friday Apr 12 from 4:00 PM to 7:00 PM",,https://d2wldr9tsuuj1b.cloudfront.net/19257/documents/2019/2/2019_StGabe_FishFry_Menu.pdf,Menu: baked orange roughy, hand-breaded cod, seafood cakes, shrimp, fresh-cut french fries, pierogies, haluski.,parish hall,412-881-0495,,,True,,False,,True,,40.3564,-80.005703,,,,,,
False,Cambria Suites - Reflect Bistro and Bar,Unsure / N/A,"451 Racetrack Road, Washington, PA 15301",https://www.facebook.com/ReflectBistro/,,,,,,xxx-xxx-xxxx,,,,,,,False,,40.221346,-80.208394,,,,,,,,,,,,
True,Labriola's Italian Market,Restaurant,"121 Hulton Road Verona, Pa 15147",https://www.labriolaitalianmarkets.com,"Friday Mar 8 from 9:00 AM to 6:00 PM, Friday Mar 15 from 9:00 AM to 6:00 PM, Friday Mar 22 from 9:00 AM to 6:00 PM, Friday Mar 29 from 9:00 AM to 6:00 PM, Friday Apr 5 from 9:00 AM to 6:00 PM, Friday Apr 12 from 9:00 AM to 6:00 PM, Friday Apr 19 from 9:00 AM to 6:00 PM",,,Fried fish $7.99/lb, fried calamari $9.95/lb, fish sandwich $6.99/each.,,412-795-3366,,,,,,,True,,40.484554,-79.820114,,,,,,,,,,
False,Faith Lutheran Church,Church,"6810 Rt. 22 Highway East New Florence, PA. 15944",http://uscfaith.org/,,,,,,xxx-xxx-xxxx,,,,,,,False,,40.44577,-79.097634,,,,,,,,,,,,
True,Hog Father's Canonsburg,Restaurant,"113 Cavasina Drive, Canonsburg, PA 15317",http://hogfathersbbq.com,"Wednesday Mar 6 from 11:00 AM to 10:00 PM, Friday Mar 8 from 11:00 AM to 10:00 PM, Friday Mar 15 from 11:00 AM to 10:00 PM, Friday Mar 22 from 11:00 AM to 10:00 PM, Friday Mar 29 from 11:00 AM to 10:00 PM, Friday Apr 5 from 11:00 AM to 10:00 PM, Friday Apr 12 from 11:00 AM to 10:00 PM, Friday Apr 19 from 11:00 AM to 10:00 PM",BBQ fish and chips $11.99,http://hogfathersbbq.com/dine-in/,,,724-743-3227,,False,True,True,True,,True,,40.26255,-80.17428,,,,,,,,,,,,
False,St. Elizabeth Anne Seton,Church,"200 Leger Road North Huntingdon, PA",https://seasnh.org,"Friday Mar 15 from 4:00 PM to 7:00 PM, Friday Mar 8 from 4:00 PM to 7:00 PM, Friday Mar 22 from 4:00 PM to 7:00 PM, Friday Apr 5 from 4:00 PM to 7:00 PM, Friday Apr 19 from 3:00 PM to 7:00 PM, Friday Mar 29 from 4:00 PM to 7:00 PM, Friday Apr 12 from 4:00 PM to 7:00 PM",,https://stelizannsetonnhpa.files.wordpress.com/2014/01/fish-fry-menu-2017.pdf,,Mack Hall,724-864-6364,,,True,,False,,False,133,40.347939,-79.761435,,,,,,,,,,,,
True,Hoov's Hotdog Shop,Restaurant,"513 N State St, Clairton, Pennsylvania 15025, United States",https://www.facebook.com/Hoovs-Hot-Dog-Shop-1436396536622917/,"Wednesday Mar 6 from 11:00 AM to 7:00 PM, Friday Mar 8 from 11:00 AM to 6:00 PM, Friday Mar 15 from 11:00 AM to 6:00 PM, Friday Mar 22 from 11:00 AM to 6:00 PM, Friday Mar 29 from 11:00 AM to 6:00 PM, Friday Apr 5 from 11:00 AM to 6:00 PM, Friday Apr 12 from 11:00 AM to 6:00 PM, Friday Apr 19 from 11:00 AM to 6:00 PM",,,"Fish Sandwich $8.00
Fish Dinner $12, includes 2 sides and drink. 
sides- Mac and Cheese, Cole slaw, French Fries, onion rings, Haluski",,412-328-9278,,,True,,True,,True,,40.30842,-79.88959,,,,,,,,,,,,
True,"St. Damien of Molokai, Monongahela",Church,"400 Park Ave, Monongahela, PA 15063",,"Wednesday Mar 6 from 11:30 AM to 2:00 PM, Wednesday Mar 6 from 4:00 PM to 7:00 PM, Friday Mar 8 from 11:30 AM to 2:00 PM, Friday Mar 8 from 4:00 PM to 7:00 PM, Friday Mar 15 from 11:30 AM to 2:00 PM, Friday Mar 15 from 4:00 PM to 7:00 PM, Friday Mar 22 from 11:30 AM to 2:00 PM, Friday Mar 22 from 4:00 PM to 7:00 PM, Friday Mar 29 from 11:30 AM to 2:00 PM, Friday Mar 29 from 4:00 PM to 7:00 PM, Friday Apr 5 from 11:30 AM to 2:00 PM, Friday Apr 5 from 4:00 PM to 7:00 PM, Friday Apr 12 from 11:30 AM to 2:00 PM, Friday Apr 12 from 4:00 PM to 7:00 PM","Ash Wednesday and Fridays of Lent, except Good Friday, 11:30 a.m.-2 p.m. lunch, 4-7 p.m. dinner./Also, weekly half-take raffle, basket raffle and large door prize. For information, call parish office at 724-258-7742. ",,"Menu: fish, shrimp and crab cake dinners (with choice of two sides); fish sandwich; pizza; fresh-cut french fries; macaroni and cheese; cole slaw; haluski; provolone sticks; coffee, hot tea, bottled water and soda.",,724-310-2027,stdamienparish@verizon.net,,True,,True,,True,,40.198765,-79.9243,,,,,,,,,,,,
True,Harris Grill Downtown,Restaurant,"245 Fourth Av, Pittsburgh, Pennsylvania 15222, United States",www.harrisgrill.com,"Wednesday Mar 6 from 11:00 AM to 11:00 PM, Friday Mar 8 from 11:00 AM to 11:00 PM, Friday Mar 15 from 11:00 AM to 11:00 PM, Friday Mar 22 from 11:00 AM to 11:00 PM, Friday Mar 29 from 11:00 AM to 11:00 PM, Friday Apr 5 from 11:00 AM to 11:00 PM, Friday Apr 12 from 11:00 AM to 11:00 PM, Friday Apr 19 from 11:00 AM to 11:00 PM","//Monongahela Mullet Fish Sandwich Served with Fries or Coleslaw  $10.88; we also serve pierogies (which aren't made in house, but are the same that are available at S & D Polish Deli).",,,,(412) 288-5273,,True,True,True,True,,True,,40.439656,-80.001567,,,,,,,,,,,,
False,Pirollos Deli,Resturant,"307 Hulton Rd, Verona, Pa. 15147",,,,,,,xxx-xxx-xxxx,,,,,,,False,150,40.489741,-79.819455,,,,,,,,,,,,
False,Partner Parish of St John the Baptist & St Joseph,Church,"504 South Broadway Street, Scottdale, Pennsylvania 15683, United States",https://www.facebook.com/groups/stjosepheverson/about/,,"Ash Wednesday, Fridays in Lent Except Good Friday Times: 11am - 6pm/",,,St. John's social hall,(724) 887-7013,,,True,,True,,False,,40.099392,-79.58761,,,,,,,,,,,,
False,"St. Norbert, Overbrook",Church,"2413 St. Norberts St. Pittsburgh, PA",,"Friday Apr 5 from 4:00 PM to 7:00 PM, Friday Apr 19 from 4:00 PM to 7:00 PM, Friday Apr 12 from 11:00 AM to 2:00 PM, Friday Apr 12 from 4:00 PM to 7:00 PM, Friday Mar 29 from 4:00 PM to 7:00 PM, Friday Mar 22 from 4:00 PM to 7:00 PM, Friday Apr 19 from 11:00 AM to 2:00 PM, Friday Mar 22 from 11:00 AM to 2:00 PM, Friday Mar 29 from 11:00 AM to 2:00 PM, Friday Apr 5 from 11:00 AM to 2:00 PM",,http://holyapostlesparish.org/wp-content/uploads/2017/03/FishFryMenus17L.pdf,,,412-881-8201,,,True,True,True,,False,42,40.382435,-79.994229,,,,,,,,,,,,
True,"Holy Spirit, Millvale",Church,"605 North Avenue, Pittsburgh, Pennsylvania 15209, United States",https://www.holyspiritmillvale.org,Friday Apr 19 from 11:00 AM to 6:30 PM,"Take Out 7am - 6:30pm, Eat-in 11am - 6:30pm.",,"Menu and cost, featuring Icelandic cod prepared by Dave Long; adult fish dinner, $11, and includes macaroni and cheese or french fries, stewed tomatoes, cole slaw, roll, dessert and drink; shrimp dinner, $11; fish sandwich, $7; children's dinner, $8. Side dishes are $1, and include french fries, macaroni and cheese, mushrooms, cole slaw and stewed tomatoes. Takeout available; call 412-874-5470.",Holy Spirit Parish Lyceum,412-874-5470,,,True,,True,True,True,,40.485411,-79.973307,,,,,,,,,,,,
False,"St. Stephen, Hazelwood",Church,"134 East Elizabeth St. Pittsburgh, PA",http://www.ststephen-hazelwood.org/,"Friday Apr 19 from 3:30 PM to 7:00 PM, Friday Mar 8 from 3:30 PM to 7:00 PM, Friday Mar 22 from 3:30 PM to 7:00 PM, Friday Mar 15 from 3:30 PM to 7:00 PM, Friday Apr 5 from 3:30 PM to 7:00 PM, Friday Apr 12 from 3:30 PM to 7:00 PM, Friday Mar 29 from 3:30 PM to 7:00 PM",,,"Baked and fried fish dinners include french fries and cole slaw. A la carte menu features fried or baked fish sandwiches, grilled cheese, french fries, macaroni and cheese, haluski and cole slaw. Also featuring bake sale.",,412-421-9210 office 412-421-4748 takeout orders,,,True,False,False,True,False,46,40.407194,-79.942663,,,,,,,,,,,,
True,St. Louise de Marillac,Church,"320 McMurray Road, Upper St Clair",https://stlouisedemarillac.org/,"Friday Mar 8 from 4:30 PM to 7:30 PM, Friday Mar 15 from 4:30 PM to 7:30 PM, Friday Mar 22 from 4:30 PM to 7:30 PM, Friday Mar 29 from 4:30 PM to 7:30 PM, Friday Apr 5 from 4:30 PM to 7:30 PM, Friday Apr 12 from 4:30 PM to 7:30 PM",,https://stlouisedemarillac.org/family-fish-fry,Weekly soup and pasta specials by Pasta Too.,LeGras Parish Center,412-833-1010,,False,True,True,False,,True,,40.315309,-80.071657,,,,,,,,,,,,
False,The Pub Chip Shop,Resturant,"1830 E Carson St Pittsburgh, Pennsylvania",http://www.thepubchipshop.com/,,,http://www.thepubchipshop.com/food/,,,412-381-2447,,True,True,True,True,True,False,143,40.428466,-79.979369,,,,,,,,,,,,
False,"St. Hilary, Washington",Church," 320 Henderson Ave, Washington, PA 15301",www.sthilaryparish.org,"Friday Apr 5 from 11:00 AM to 6:00 PM, Friday Apr 12 from 11:00 AM to 11:00 AM, Friday Apr 19 from 11:00 AM to 6:00 PM","(Outdated - no updates found for 2019 Call 724-222-4087 for updates)/Ash Wednesday and Fridays of Lent, including Good Friday, 11 a.m.-6 p.m. For takeout orders, call 724-222-1381.",,"(Outdated - no updates found for 2019 on http://www.sthilaryparish.org/ ,  http://www.pittsburghcatholic.org/--Parish-Fish-Fries , https://www.facebook.com/St-Hilary-Church-117161911677274/ . Call 724-222-4087 for updates)
Menu includes hand-breaded haddock, fried shrimp, french fries, cole slaw, dessert and beverages. Dine-in or takeout. For information, call 724-222-4087 or visit www.sthilaryparish.org.",,724-222-4087,,,,,,,False,,40.188747,-80.266978,,,,,,,,,,,,
True,Doublewide Grill (South Side),Unsure / N/A,"2339 East Carson Street, Pittsburgh, PA",https://www.doublewidegrill.com/about,"Friday Mar 8 from 11:00 AM to 12:00 AM, Friday Mar 15 from 11:00 AM to 12:00 AM, Friday Mar 22 from 11:00 AM to 12:00 AM, Friday Mar 29 from 11:00 AM to 12:00 AM, Friday Apr 5 from 11:00 AM to 12:00 AM, Friday Apr 12 from 11:00 AM to 12:00 AM, Friday Apr 19 from 11:00 AM to 12:00 AM",Fish Dish Served on Friday ,https://www.doublewidegrill.com/menu,,,724-863-8181,,,True,True,True,,True,,40.428513,-79.971327,,,,,,,,,,,,
True,Highland Hose Volunteer Fire Company,Fire Department,"401 East 8th Avenue, Tarentum, PA",https://www.facebook.com/truck280/,"Wednesday Mar 6 from 4:00 PM to 7:00 PM, Friday Mar 8 from 4:00 PM to 7:00 PM, Friday Mar 15 from 4:00 PM to 7:00 PM, Friday Mar 22 from 4:00 PM to 7:00 PM, Friday Mar 29 from 4:00 PM to 7:00 PM, Friday Apr 5 from 4:00 PM to 7:00 PM, Friday Apr 12 from 4:00 PM to 7:00 PM, Friday Apr 19 from 4:00 PM to 7:00 PM",,,"Dinner (Fish sandwich or shrimp, cole slaw, and one side) $8
Fish Sandwich $6
Shrimp $6
Homemade Mac n Cheese $4
Homemade haluski $4
Fresh cut fries $4
Pierogi $4
",upstairs hall,(724) 224-0999,,,True,,,,True,,40.604556,-79.753166,,,,,,,,,,,,
True,Saxonburg Volunteer Fire Company - WEDNESDAYS DURING LENT,Fire Department,"210 Horne Avenue, Saxonburg, Pennsylvania 16056, United States",https://www.facebook.com/SaxonburgVFC,"Wednesday Mar 6 from 4:30 PM to 6:30 PM, Wednesday Mar 13 from 4:30 PM to 6:30 PM, Wednesday Mar 20 from 4:30 PM to 6:30 PM, Wednesday Mar 27 from 4:30 PM to 6:30 PM, Wednesday Apr 3 from 4:30 PM to 6:30 PM, Wednesday Apr 10 from 4:30 PM to 6:30 PM, Wednesday Apr 17 from 4:30 PM to 6:30 PM",Takeout available 4pm-6:30pm,,Fish dinners $10,,724-352-9948,,,True,,False,,True,,40.747571,-79.809181,,,,,,,,,,,,
True,"St. Peter, Slippery Rock",Church,"670 South Main Street, Slippery Rock, Pennsylvania 16057, United States",,"Friday Mar 8 from 4:00 PM to 7:00 PM, Friday Mar 15 from 4:00 PM to 7:00 PM, Friday Mar 22 from 4:00 PM to 7:00 PM, Friday Mar 29 from 4:00 PM to 7:00 PM, Friday Apr 5 from 4:00 PM to 7:00 PM, Friday Apr 12 from 4:00 PM to 7:00 PM, Friday Apr 19 from 4:00 PM to 7:00 PM","Fridays of Lent, including Good Friday, 4-7 p.m. Sponsored by Knights of Columbus.",,"Menu: baked or fried fish; french fries; pierogies; macaroni and cheese; salad; cole slaw, rolls; drinks; dessert. Cost: $10 adult dinner; $8 students; $5 children 12 and under. Special all-you-can-eat dinner for $15 (for dine-in customers).",church hall,724-794-2880,,,True,,False,,True,,41.056428,-80.050693,,,,,,,,,,,,
True,Swissvale Fire Department,Fire Department,"7400 Irvine Street, Pittsburgh, PA 15218",https://m.facebook.com/pages/category/Fire-Station/Swissvale-Fire-Department-665428030151290/,"Wednesday Mar 6 from 11:00 AM to 7:00 PM, Friday Mar 8 from 11:00 AM to 7:00 PM, Friday Mar 15 from 11:00 AM to 7:00 PM, Friday Mar 22 from 11:00 AM to 7:00 PM, Friday Mar 29 from 11:00 AM to 7:00 PM, Friday Apr 5 from 11:00 AM to 7:00 PM, Friday Apr 12 from 11:00 AM to 7:00 PM, Friday Apr 19 from 11:00 AM to 7:00 PM","""Deliciously Famous""",,,,4122718787,,False,True,False,True,,True,,40.420674,-79.889398,,,,,,,,,,,,
True,Emil's Lounge,Restaurant,"414 Hawkins Avenue, Rankin, Pennsylvania 15104, United States",https://www.facebook.com/EmilsLoungePA/,"Wednesday Mar 6 from 10:00 AM to 7:00 PM, Friday Mar 8 from 10:00 AM to 8:00 PM, Friday Mar 15 from 10:00 AM to 8:00 PM, Friday Mar 22 from 10:00 AM to 8:00 PM, Friday Mar 29 from 10:00 AM to 8:00 PM, Friday Apr 5 from 10:00 AM to 8:00 PM, Friday Apr 12 from 10:00 AM to 8:00 PM, Friday Apr 19 from 10:00 AM to 8:00 PM",,http://www.emilslounge.com/pages/index.html,,,(412) 271-9911,,,True,True,True,,True,,40.413387,-79.880362,,,,,,,,,,,,
False,Heidelberg Volunteer Fire Department,Fire Department,"456 First Street, Heidelberg PA 15106",,"Friday Apr 19 from 11:00 AM to 7:00 PM, Wednesday Mar 6 from 11:00 AM to 7:00 PM",Ash Wednesday and Good Friday only,,"Main dishes include fish sandwiches, fish and shrimp dinners and crab cakes. Sides including mac n cheese, fries, soups, and more. Our world famous pierogis will also be available ,potato and cheese only for Ash Wednesday. Stop by early as they are sure to sell out. For Good Friday only, if youd like to pre-order pierogis - potato and cheese, sauerkraut or sweet cabbage , please call 412-722-6314.",Fire Department Social Hall. Ample parking and hall entrance is located behind the fire station.,412 722-6314,,,True,False,False,,False,250,40.391722,-80.092331,,,,,,,,,,,,
True,St. Mary (Herman),Church,"821 Herman Road, Butler, PA 16002",https://www.facebook.com/St.MarysHermanFishFries/,,"Fridays of Lent, except Good Friday, 4-7 p.m. Takeout available at 2pm. ",,"Menu features baked or pan-fried fish fillet, with scalloped potatoes or french fries, green beans, Spanish rice, cole slaw and bread, homemade desserts and beverage.  Adults and takeout meals are $10, and free for children 5 and under. Also, ",,,,,True,,,,True,,40.830089,-79.81627,,,,,,,,,,,,
True,Coy's Pizza Shop,Restaurant,"2845 Old Rte 56, Homer City, PA",http://coyspizza.com/,"Friday Mar 8 from 11:00 AM to 11:00 PM, Friday Mar 15 from 11:00 AM to 11:00 PM, Friday Mar 22 from 11:00 AM to 11:00 PM, Friday Mar 29 from 11:00 AM to 11:00 PM, Friday Apr 5 from 11:00 AM to 11:00 PM, Friday Apr 12 from 11:00 AM to 11:00 PM, Friday Apr 19 from 11:00 AM to 11:00 PM",Fish Fry Menu forthcoming,http://coyspizza.com/our-menu/,,,724-463-9449,,,True,True,True,,True,,40.564215,-79.195986,,,,,,,,,,,,
False,Spring House,Resturant,"1531 Route 136 Washington, PA 15301",,,,,,,xxx-xxx-xxxx,,,,,,,False,243,40.174551,-80.248628,,,,,,,,,,,,
True,Markle VFD,Fire Department,"470 Joyce St., Apollo, PA",https://www.facebook.com/markle.vfd/,"Friday Mar 22 from 4:00 PM to 7:00 PM, Friday Mar 29 from 4:00 PM to 7:00 PM, Friday Apr 5 from 4:00 PM to 7:00 PM, Friday Apr 12 from 4:00 PM to 7:00 PM, Friday Apr 19 from 4:00 PM to 7:00 PM, Friday Mar 8 from 4:00 PM to 7:00 PM, Friday Mar 15 from 4:00 PM to 7:00 PM",,,"Homeade Freshly Battered Fish
Baked Fish
Chicken Tenders
Freshly Cut French Fries
Green Beans
Our Famous Mac-N-Cheese
Cole Slaw
Homeade Haluski
Pierogies 
Rolls
Dessert
Drinks

Cost:

Adult - $12.00
Children 5-12 - $6.00
Children under five - FREE",,,,,,,,,True,,40.571938,-79.645171,,,,,,,,,,,,
True,"Inferno Pizza, Pasta, and Wings",Restaurant,"13380 US-30 Hwy Irwin, Pennsylvania",www.eatinfernopizza.com,"Wednesday Mar 6 from 11:00 AM to 11:00 PM, Friday Mar 8 from 11:00 AM to 11:00 PM, Friday Mar 15 from 11:00 AM to 11:00 PM, Friday Mar 22 from 11:00 AM to 11:00 PM, Friday Mar 29 from 11:00 AM to 11:00 PM, Friday Apr 5 from 11:00 AM to 11:00 PM, Friday Apr 12 from 11:00 AM to 11:00 PM, Friday Apr 19 from 11:00 AM to 11:00 PM","All of our Lent Items are available for dine-in, take out, delivery, or to enjoy in Fury Brewing's taproom right next door to us.",https://www.facebook.com/infernopizzanorthhuntingdonpa/photos/a.970667863025117/2074922212599671/?type=3&theater,"$16.95 - Large Combo - (2 Fillets / 2 Pounds) 12"" Fresh Hand breaded Cod Sandwich / Includes: Fresh Cut Fries, Cole Slaw, & Tartar Sauce; $11.95 - Large Fish Sandwich - (2 Fillets / 2 Pounds) 12"" Fresh Hand breaded Cod Sandwich / Includes: Tartar Sauce; $9.95 - Half Combo - (1 Fillet / 1 Pound) 6"" Fresh Hand breaded Cod Sandwich / Includes: Fresh Cut Fries, Cole Slaw, & Tartar Sauce; $8.95 - Shrimp Combo - (x8) Butterfly Fried Shrimp / Includes: Fresh Cut Fries, Cole Slaw, & Cocktail Sauce;$5 - Large Mac & Cheese (HOMEMADE); $5 - Large Cole Slaw (FRESH & DELICIOUS) ; $20 - (x2) Large Cheese Pizzas (Cooked fresh to order);$10 - (x1) Large Cheese Pizza (Cooked fresh to order).",,724-382-5006,info.infernopizza@gmail.com,,,,True,,True,,40.342681,-79.760647,,,,,,,,,,,,
True,Hampton Township VFD #1,Fire Department,"2536 Duncan Avenue, Allison Park, Pennsylvania 15101, United States",https://www.facebook.com/Hampton-Township-VFD-1-190996607599327,"Friday Mar 8 from 4:30 PM to 7:00 PM, Friday Mar 15 from 4:30 PM to 7:00 PM, Friday Mar 22 from 4:30 PM to 7:00 PM, Friday Mar 29 from 4:30 PM to 7:00 PM, Friday Apr 5 from 4:30 PM to 7:00 PM, Friday Apr 12 from 4:30 PM to 7:00 PM, Friday Apr 19 from 4:30 PM to 7:00 PM",,https://www.facebook.com/190996607599327/photos/a.799467413418907/2284447524920881/?type=3&theater,,,(412) 487-1114,,,True,,False,,True,,40.559664,-79.963937,,,,,,,,,,,,
False,McClaren's Bar,Restaurant,"2000 Whitaker Way, Munhall, PA",https://www.facebook.com/McClarensBarPgh/,"Friday Mar 29 from 11:00 AM to 11:00 PM, Friday Mar 15 from 11:00 AM to 11:00 PM, Friday Apr 5 from 11:00 AM to 11:00 PM, Friday Apr 19 from 11:00 AM to 11:00 PM, Friday Mar 22 from 11:00 AM to 11:00 PM, Friday Mar 8 from 11:00 AM to 11:00 PM, Friday Apr 12 from 11:00 AM to 11:00 PM",,https://www.facebook.com/McClarensBarPgh/photos/a.901674729917897.1073741829.827595107325860/1269636793121687/?type=3&theater,,,412-228-9553,,,True,,True,,False,299,40.403115,-79.890151,,,,,,,,,,,,
True,St. Brigid,Church,"383 Arch Street, Meadville, Pennsylvania 16335, United States",http://www.stbrigidchurch.org/,"Friday Mar 8 from 4:30 PM to 6:30 PM, Friday Mar 15 from 4:30 PM to 6:30 PM, Friday Mar 22 from 4:30 PM to 6:30 PM, Friday Mar 29 from 4:30 PM to 6:30 PM, Friday Apr 5 from 4:30 PM to 6:30 PM, Friday Apr 12 from 4:30 PM to 6:30 PM",For an additional small fee there is an icecream bar. ,,"Dinners of Baked or Fried Icelandic Haddock Fish (fried or baked), Scalloped Potatoes, Green Beans, Coleslaw/Applesauce, bread and beverage. Prices remain the same as last year:  Adults:  $9; Children $4.50 Macaroni & Cheese or Grilled Cheese. For an additional small fee there is an icecream bar. ",St. Brigid Social Hall ,814-336-4459,,,True,,False,True,True,,41.636206,-80.148794,,,,,,,,,,,,
True,St. Paul's Episcopal Church,Church,"1066 Washington Road, Mt. Lebanon, PA",https://www.stpaulspgh.org/blog/shrove-tuesday-pancakes-and-ash-wednesday-services/,"Friday Mar 15 from 5:00 PM to 7:30 PM, Friday Mar 29 from 5:00 PM to 7:30 PM, Friday Apr 12 from 5:00 PM to 7:30 PM",,,,,,,,True,,False,True,True,,40.370768,-80.050178,,,,,,,,,,,,
True,Blaine Hill VFC,Fire Department,"409 Oxford ave, Elizabeth, PA",https://www.facebook.com/BlaineHillVFC/,"Friday Mar 22 from 4:00 PM to 7:00 PM, Friday Mar 29 from 4:00 PM to 7:00 PM, Friday Apr 5 from 4:00 PM to 7:00 PM, Friday Apr 12 from 4:00 PM to 7:00 PM, Friday Apr 19 from 4:00 PM to 7:00 PM, Wednesday Mar 6 from 4:00 PM to 7:00 PM, Friday Mar 8 from 4:00 PM to 7:00 PM, Friday Mar 15 from 4:00 PM to 7:00 PM",,,,,xxx-xxx-xxxx,,,,,False,,True,,40.272983,-79.875079,,,,,,,,,,,,
True,"Our Lady of Victory Maronite Catholic Church, Carnegie",Church,"1000 Lindsay Road, Carnegie, Pennsylvania 15106, United States",https://www.olovpgh.org/,"Friday Mar 8 from 12:00 PM to 7:00 PM, Friday Mar 15 from 12:00 PM to 7:00 PM, Friday Mar 22 from 12:00 PM to 7:00 PM, Friday Mar 29 from 12:00 PM to 7:00 PM, Friday Apr 5 from 12:00 PM to 7:00 PM, Friday Apr 12 from 12:00 PM to 7:00 PM",,https://www.olovpgh.org/wp-content/uploads/2019/02/LentenMeals-2019-A.pdf,,,412-278-0841,,,True,,True,,True,,40.385473,-80.075295,,,,,,,,,,,,
True,St. Sava,Church,"901 Hartman, Mckeesport, PA",https://stsavapa.org/lentenfishfry.html,"Friday Mar 8 from 12:00 PM to 6:00 PM, Friday Mar 15 from 12:00 PM to 6:00 PM, Friday Mar 22 from 12:00 PM to 6:00 PM, Friday Mar 29 from 12:00 PM to 6:00 PM, Friday Apr 5 from 12:00 PM to 6:00 PM, Friday Apr 12 from 12:00 PM to 6:00 PM, Friday Apr 19 from 12:00 PM to 6:00 PM",,https://stsavapa.org/lentenfishfry.html,"MENU
Please call to confirm items/prices - (412) 664-0820

Dinners
Fish (baked or fried) or Shrimp...................$10.00
Crab Cakes (2)....................................$12.00
Dinners include: cole slaw/one side, coffee or tea, and a dessert

Sides
Haluski
Spanish Rice
French Fries

A la carte
Fish Sandwich......................................$8.00
Crab Cakes (2)....................................$10.00
Bakalar............................................$8.00
Pierogis (4).......................................$3.00
Soup of the Day - Pint.............................$3.00
                - Quart............................$6.00

Desserts
Bake Sale, Donuts, Apple Strudel, Palachinka, and Rolls (Nut/Apricot/Poppy)",,412-664-0820,,,True,,True,,True,,40.350403,-79.83401,,,,,,,,,,,,
